일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2024/04/30","35300","100","0.28","35350","35450","35200","989","34941950","209215298700","5926779"
"2024/04/29","35200","500","1.44","34700","35600","34700","6878","241747800","208622620800","5926779"
"2024/04/26","34700","150","0.43","34550","34700","34350","2916","100762500","205659231300","5926779"
"2024/04/25","34550","-100","-0.29","34500","34900","34250","2170","74606200","204770214450","5926779"
"2024/04/24","34650","650","1.91","34050","34850","34050","4561","157254850","205362892350","5926779"
"2024/04/23","34000","100","0.29","34000","34100","33800","2414","81995550","201510486000","5926779"
"2024/04/22","33900","-100","-0.29","33800","34100","33450","4380","147886000","200917808100","5926779"
"2024/04/19","34000","-250","-0.73","34400","34550","33050","7942","267141850","201510486000","5926779"
"2024/04/18","34250","200","0.59","34050","34450","34000","7510","256749700","202992180750","5926779"
"2024/04/17","34050","-550","-1.59","34650","34650","33950","7724","263078550","201806824950","5926779"
"2024/04/16","34600","-200","-0.57","34800","34900","33700","6918","236100550","205066553400","5926779"
"2024/04/15","34800","-200","-0.57","34500","34900","34250","2815","96967350","206251909200","5926779"
"2024/04/12","35000","50","0.14","35200","35200","34750","1962","68460850","207437265000","5926779"
"2024/04/11","34950","-150","-0.43","35100","35500","34600","2111","73371250","207140926050","5926779"
"2024/04/09","35100","-200","-0.57","35350","35500","34900","2067","72480000","208029942900","5926779"
"2024/04/08","35300","-250","-0.70","35650","35650","35000","3517","123881250","209215298700","5926779"
"2024/04/05","35550","-50","-0.14","35600","35650","34900","5016","177105650","210696993450","5926779"
"2024/04/04","35600","-900","-2.47","36500","36500","35000","4142","147230600","210993332400","5926779"
"2024/04/03","36500","500","1.39","36000","36700","35350","5039","181922650","216327433500","5926779"
"2024/04/02","36000","-400","-1.10","36050","36350","35450","3357","120435700","213364044000","5926779"
"2024/04/01","36400","-50","-0.14","36550","36550","36150","2023","73544600","215734755600","5926779"
"2024/03/29","36450","-50","-0.14","36500","36950","35950","3367","122183250","216031094550","5926779"
"2024/03/28","36500","-750","-2.01","37200","37200","36400","2064","75705050","216327433500","5926779"
"2024/03/27","37250","1650","4.63","35500","37250","35250","17927","655608250","220772517750","5926779"
"2024/03/26","35600","300","0.85","35150","35750","35150","4405","156686500","210993332400","5926779"
"2024/03/25","35300","-50","-0.14","35350","35500","35050","3886","136847600","209215298700","5926779"
"2024/03/22","35350","-50","-0.14","35150","35500","35000","3499","122823550","209511637650","5926779"
"2024/03/21","35400","-100","-0.28","35500","35700","35100","1490","52589750","209807976600","5926779"
"2024/03/20","35500","350","1.00","35500","35800","35100","3837","135861500","210400654500","5926779"
"2024/03/19","35150","-400","-1.13","35550","35550","34900","2964","104028900","208326281850","5926779"
"2024/03/18","35550","-200","-0.56","35700","35800","35300","2486","88431850","210696993450","5926779"
"2024/03/15","35750","50","0.14","35650","35750","35200","1771","62644450","211882349250","5926779"
"2024/03/14","35700","0","0.00","35700","35750","35000","5449","192085500","211586010300","5926779"
"2024/03/13","35700","-50","-0.14","35900","35900","35200","1929","68350200","211586010300","5926779"
"2024/03/12","35750","-50","-0.14","36000","36000","35300","2414","85914300","211882349250","5926779"
"2024/03/11","35800","-50","-0.14","35800","35850","35450","1424","50649450","212178688200","5926779"
"2024/03/08","35850","-50","-0.14","35900","35900","35450","2969","106024800","212475027150","5926779"
"2024/03/07","35900","-50","-0.14","36050","36050","35300","3505","125167400","212771366100","5926779"
