연번,공사명,총공사금액(억원),공사시작일,공사종료일,업체명,수요기관,소재지주소
1,포항 상생근린공원 공동주택(1BL) 신축공사 ,3364.2,2024-01-26,2027-09-25,(주)포스코이앤씨,주식회사 세창,"경상북도 포항시 남구 희망대로514번길 38, (주)포스코이앤씨 (대잠동)"
2,2024년 영양군 슬레이트 해체·처리 공사 3권역,1.3,2024-03-25,2024-11-29,(주)대양개발,사단법인 한국석면안전협회,"경상북도 영양군 수비면, 일월면 일원"
3,"2024년 연안시설(강정,토산) 보수보강 공사",0.8,2024-04-04,2024-06-02,(주)신흥이엔씨,제주특별자치도 서귀포시,제주특별자치도 서귀포시 
4,둔내면 홍천국토관리사무소 보도설치 지장전주 이설공사,0.8,2024-03-21,2024-04-22,현대전설(주),한국전력공사 강원본부,"강원특별자치도 횡성군 둔내면 둔내로51번길 17, 0 "
5,제주시 관내 주요도로 노면표시 정비공사,1.4,2024-03-28,2024-05-26,(주)경기종합건설,제주특별자치도 제주시,"제주특별자치도 제주시 광양9길 10, 제주시 일원 (이도이동)"
6,24년 훈련장 관리(잔디/조경)용역,7.4,2024-03-11,2024-12-31,(주)한울,국방부 국군체육부대,"경상북도 문경시 호계면 상무로 101, 국군체육부대 "
7,2024년 의성군 슬레이트 해체.처리 공사 4권역,1.6,2024-04-02,2024-11-29,(주)수성건설,사단법인 한국석면안전협회,"경상북도 의성군 단북면 단북다인로 168, 외 필지 "
8,노형동 광평동로 일원 도로보수공사,0.5,2024-03-27,2024-04-23,(주)영림산업,제주특별자치도 제주시 노형동,제주특별자치도 제주시 노형동 광평동로 일원
9,"2024년 의성군 슬레이트 해체,처리공사 6권역",1.6,2024-04-02,2024-11-29,(주)경북환경개발,사단법인 한국석면안전협회,경상북도 의성군 신평면 봉호로 2440 
10,2024년 경주시 슬레이트 해체.처리공사 1권역,1.5,2024-03-20,2024-11-29,(주)현승개발,사단법인 한국석면안전협회,"경상북도 경주시 감포읍,문무대왕면,양남면 일원"
11,남양) C지구 역대차보관장 부지 대체사무실 조성 공사,59.5,2024-03-11,2024-12-31,현대엔지니어링(주),현대자동차(주),경기도 화성시 남양읍 현대연구소로 150 
12,남양) A지구 차량시험동 노후 인프라 개선 공사,106.4,2024-03-16,2024-12-31,현대엔지니어링(주),현대자동차(주),경기도 화성시 남양읍 현대연구소로 150 
13,대한항공 운북 신 엔진정비공장 증축 및 ETC#2 신축공사 (기계소방공사),144.7,2024-02-14,2026-09-13,(주)신동양기업,(주)대한항공,인천광역시 중구 운북동 1392-2번지 외 1필지
14,2024년 의성군 슬레이트 해체.처리 공사 3권역,1.6,2024-04-02,2024-11-29,조흥건설(주),사단법인 한국석면안전협회,경상북도 의성군 가음면. 금성면 일대
15,"2024년 의성군 슬레이트 해체,처리공사 7권역",1.6,2024-04-02,2024-11-29,정우건설,사단법인 한국석면안전협회,경상북도 의성군 단촌면 지내
16,동래구 신청사 주차타워 건립 기계소방공사,1.8,2024-04-01,2024-09-27,주식회사 고려소방,부산광역시 동래구,부산광역시 동래구 충렬대로237번길 117 (명륜동)
17,2024년 의성군 슬레이트 해체·처리 공사 5권역,1.6,2024-04-02,2024-11-29,티삼스건설(주),사단법인 한국석면안전협회,경상북도 의성군 다인면 일원
18,"2024년 의성군 슬레이트 해체,처리공사 2권역",1.6,2024-03-26,2024-11-29,정우건설,사단법인 한국석면안전협회,경상북도 의성군 지내
19,2024년 김제시 슬레이트 해체 철거 공사(3권역),1.2,2024-03-27,2024-11-15,주식회사위너건설,사단법인 한국석면안전관리협회,"전북특별자치도 김제시 백구면 번영로 2544, 번지 외 백구면,공덕면 일원 "
20,2024년 김제시 슬레이트 해체 철거 공사(5권역),1.2,2024-03-27,2024-11-15,주식회사위너건설,사단법인 한국석면안전관리협회,"전북특별자치도 김제시 백산면 하정5길 29, 외 백산면 일원 "
21,2024년 김제시 슬레이트 해체 철거 공사(9권역),1.2,2024-03-27,2024-11-15,(유)강인,사단법인 한국석면안전관리협회,"전북특별자치도 김제시 흥복길 102, 외 요촌동,검산동 일원 (흥사동)"
22,천주교인천교구 송도2동성당 신축공사,156,2024-03-01,2024-11-30,(주)다움종합건설,재)인천교구천주교회유지재단,인천광역시 연수구 송도동 396-84(송도국제신도시 랜드마크시티 RL3)
23,2024년 김제시 슬레이트 해체 철거 공사(1권역),1.2,2024-03-27,2024-11-15,(유)마한개발,사단법인 한국석면안전관리협회,전북특별자치도 김제시 광활면
24,청주 센트럴밸리일반산업단지 전기공사,59.4,2024-03-21,2025-05-18,(주)한화,(주)청주센트럴밸리,"충청북도 청주시 흥덕구 옥산면 오송가락로 1071, 파크에비뉴 304호 "
25,2024년 의성군 슬레이트 해체·처리 공사 1권역,1.6,2024-03-26,2024-11-29,해성토목(주),사단법인 한국석면안전협회,"경상북도 의성군 의성읍, 사곡면, 춘산면 일원"
26,2024년 문경시 슬레이트 해체·처리 공사 6권역,1.7,2024-03-25,2024-11-29,(주)새재환경,사단법인 한국석면안전협회,"경상북도 문경시 가은읍, 농암면, 마성면, 문경읍, 동로면 일원"
27,2024년 문경시 슬레이트 해체·처리 공사 4권역,1.7,2024-03-25,2024-11-29,(주)새재환경,사단법인 한국석면안전협회,"경상북도 문경시 문경시(문경시(동), 호계면) 일원"
28,2024년 문경시 슬레이트 해체·처리 공사 3권역,1.7,2024-03-25,2024-11-29,(주)새재환경,사단법인 한국석면안전협회,"경상북도 문경시 문경시(동로면, 산북면) 일원"
