순번,행정구역,지역본부_지사,업소명,우편,주소
1,부산 사하구,부산광역본부,(주)진원에너지,49505,부산광역시 사하구 다대로 722 (다대동)
2,강원 홍천군,강원광역본부,두원에너지 홍천CNG충전소,25115,강원도 홍천군 북방면 홍천로 179
3,전북 익산시,전북본부,전북에너지서비스(주) 송학 CNG충전소,54670,전라북도 익산시 평동로 382 (송학동)
4,전북 전주시 완산구,전북본부,(유)제일씨엔지에너지평화동CNG충전소,55141,전라북도 전주시 완산구 난전들로 59 (평화동3가)
5,경기 안성시,경기광역본부,"안성터미널주유소,충전소",17585,경기도 안성시 비봉로 71-14 안성터미널주유소
6,경기 평택시,경기광역본부,평택 용이CNG충전소,17870,경기도 평택시 이화로 89
7,경남 양산시,경남본부,(주)경동도시가스 웅상공영차고지CNG충전소,50524,경상남도 양산시 웅상대로 1510
8,경남 창원시 성산구,경남본부,경남에너지(주)불모산CNG충전소,51541,경상남도 창원시 성산구 성주동 176번지
9,경남 창원시 진해구,경남본부,(주)항만엘엔지,51611,경상남도 창원시 진해구 신항로 341 PNC터미널 내
10,경남 함안군,경남본부,광신기계공업(주),52029,경상남도 함안군 칠원읍 오곡로 124
11,경북 칠곡군,대구광역본부,대성에너지(주)동명CNG충전소,39858,경상북도 칠곡군 동명면 금암동석4길 11
12,대구 수성구,대구광역본부,대성에너지(주)범물CNG충전소,42239,대구광역시 수성구 청호로 22
13,대구 달서구,대구광역본부,대성에너지(주)대곡CNG충전소,42826,대구광역시 달서구 한실로 10
14,광주 북구,광주광역본부,(주)해양에너지 월출 CNG충전소,61000,광주광역시 북구 불태3로 3
15,광주 북구,광주광역본부,(주)해양에너지 장등 CNG충전소,61140,광주광역시 북구 장운길 55
16,울산 울주군,울산본부,덕하공영차고지CNG충전소,44990,울산광역시 울주군 청량읍 온산로 545
17,경기 포천시,경기북부지사,(주)대원운수 내촌CNG충전소,11192,경기도 포천시 내촌면 음고개길 9-28
18,서울 구로구,서울남부지사,(주)귀뚜라미에너지 온수CNG충전소,8261,서울특별시 구로구 부일로 841
19,서울 강서구,서울남부지사,서울씨엔지(주),7505,서울특별시 강서구 개화동로8길 17(공용차고지)
20,서울 도봉구,서울동부지사,(주)사랑CNG충전소,1405,서울특별시 도봉구 노해로 317-6
21,경기 광명시,경기서부지사,(주)삼천리광명소하CNG충전소,14333,경기도 광명시 오리로 273
22,인천 중구,인천본부,은혜산업개발(주),22341,인천광역시 중구 서해대로94번길 57-33  은혜CNG충전소
23,경기 이천시,경기동부지사,(주)대원고속 이천공영차고지CNG충전소,17391,경기도 이천시 이섭대천로 981-42 관리동
24,경기 고양시 일산동구,경기중부지사,고양씨엔지(주),10320,경기도 고양시 일산동구 무궁화로 385-11
25,경기 고양시 일산동구,경기중부지사,주식회사 동진네오,10251,경기도 고양시 일산동구 고봉로678번길 47
26,경기 김포시,경기중부지사,선진네트웍스(주) 김포LCNG충전소,10069,경기도 김포시 양촌읍 향동로 20 나동
27,부산 강서구,부산광역본부,강서공영차고지사업부CNG충전소,46733,부산광역시 강서구 녹산화전로 117 (화전동) 
28,부산 영도구,부산광역본부,태종CNG,,부산광역시 영도구 태종로 810(동삼동)
29,부산 남구,부산광역본부,(주)신선에너지 신선대CNG충전소,48560,부산광역시 남구 신선로 306 (용당동)
30,부산 사하구,부산광역본부,영신여객CNG충전소,49397,부산광역시 사하구 을숙도대로 697 (신평1동)
31,강원 춘천시,강원광역본부,이오젠CNG충전소,24232,강원도 춘천시 공단로 86  
32,충북 청주시 흥덕구,충북본부,(주)대성티앤이비하CNG충전소,28360,충청북도 청주시 흥덕구 직지대로240번길 84
33,전북 완주군,전북본부,현대자동차(주)전주공장,55322,전라북도 완주군 봉동읍 완주산단5로 163 
34,경기 화성시,경기광역본부,(주)삼천리화성동탄CNG충전소,18511,경기도 화성시 10용사로 636 동탄공영버스차고지
35,경기 안양시 만안구,경기광역본부,(주)삼천리안양석수CNG충전소,13900,경기도 안양시 만안구 일직로 119 안양시내버스공영차고지
36,경기 수원시 권선구,경기광역본부,(주)에스이모빌리티 곡반충전소,16672,경기도 수원시 권선구 동수원로 22
37,경기 평택시,경기광역본부,한국가스공사 평택생산기지본부,17949,경기도 평택시 포승읍 남양만로 175-88
38,경남 창원시 진해구,경남본부,경남에너지(주)진해CNG충전소,51656,경상남도 창원시 진해구 천자로 83
39,경남 김해시,경남본부,경남에너지(주)김해CNG충전소,50853,경상남도 김해시 한림면 김해대로 1611
40,대구 북구,대구광역본부,대성에너지(주)검단CNG충전소,41507,대구광역시 북구 검단북로11길 83
41,대구 동구,대구광역본부,대성에너지(주)동호CNG충전소,41085,대구광역시 동구 경안로 700
42,경북 경산시,대구광역본부,대성에너지(주)하양CNG충전소,38421,경상북도 경산시 와촌면 하양로 335
