관광지명,관광지구분,소재지도로명주소,소재지지번주소,위도,경도,면적,공공편익시설정보,숙박시설정보,운동및오락시설정보,휴양및문화시설정보,접객시설정보,지원시설정보,지정일자,수용인원수,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자,제공기관코드,제공기관명
일제 경성호국신사 계단(108계단),관광지,서울특별시 용산구 신흥로22가길 33,서울특별시 용산구 용산동2가 1-346,37.546023,126.982542,237.2,승강기,,,,,,1905-04-26,20,0,"일제강점기 경성호국신사에 참배하기 위해 오르던 진입로로, 완공까지 한국인들의 재산과 노동력이 동원되었다. 일제 말기 식민지 한국이 처했던 비극의 역사를 선명하게 보여주는 장소이다.",02-2199-7240,서울특별시 용산구청 문화체육과,2022-12-07,3020000,서울특별시 용산구
찬바람재,관광지,서울특별시 용산구 녹사평대로 195,서울특별시 용산구 용산동2가 7-99,37.534815,126.987014,646.6,승강기,,,,,,2000-12-15,50,0,예전부터 겨울철 찬바람이 매섭게 몰아친다 하여 찬바람재 또는 한풍재라고도 불리던 곳이다. 현재는 이 일대를 푸른 풀이 무성한 들판이라는 뜻의 녹사평이라고 부르고 있다.,02-2199-7240,서울특별시 용산구청 문화체육과,2022-12-07,3020000,서울특별시 용산구
옛 남영동 대공분실(민주인권기념관),관광지,서울특별시 용산구 한강대로71길 37,서울특별시 용산구 갈월동 98-8,37.5410116595,126.9716344944,6391,화장실,,,,,,2024-12-01,430,0,1970~80년대 민주주의를 억압하며 악명을 떨쳤던 남영동 대공분실은 1976년 지상5층 규모로 신축되어 치안본부 대공과 대공분실로 사용되었다. 2023년경 민주주의와 인권의 가치를 수호하는 민주인권기념관으로 정식 개관할 예정이다.,031-361-9576,민주화운동기념사업회,2022-12-07,3020000,서울특별시 용산구
옛 용산공설시장(현 남영아케이드),관광지,서울특별시 용산구 한강대로84길 7,서울특별시 용산구 남영동 28-8,37.543723,126.972924,1449,화장실,,,,,,1920-01-01,100,0,1922년 일제가 설치한 시장으로 지금은 남영아케이드로 불리고 있다.,02-2199-7240,서울특별시 용산구청 문화체육과,2022-12-07,3020000,서울특별시 용산구
전쟁기념관,관광지,서울특별시 용산구 이태원로 29,서울특별시 용산구 용산동1가 8,37.5373140468,126.9784660632,112887.2,화장실+주차장+물품보관함+수유실,,,,,,1994-06-10,7500,150,"1994년 용산에 건립된 전쟁기념관은 외침을 극복하고 국민의 생명과 재산을 지켜온 대외항쟁사와 민족의 자주독립을 지켜온 국난극복사 등 전쟁에 관한 자료를 수집,보존하고, 전쟁의 교훈을 통해 전쟁을 예방하여 조국의 평화적 통일을 이룩하는데 이바지하기 위해 세워졌다.",02-709-3114,전쟁기념사업회,2022-12-07,3020000,서울특별시 용산구
당고개 순교성지,관광지,서울특별시 용산구 청파로 139-26,서울특별시 용산구 신계동 56,37.5355901177,126.9669630492,1752,화장실,,,,,,1986-01-01,120,10,"이 일대는 조선후기에 처형장으로도 이용되었는데, 1839년 기해박해 당시 천주교 신자 10여명이 순교한 곳이다. 지금은 기해박해 당시 천주교 순교자들을 기리기 위해 당고개 순교성지가 들어서 있다.",02-711-0933,당고개 순교성지,2022-12-07,3020000,서울특별시 용산구
옛 풍국제과 공장,관광지,서울특별시 용산구 백범로90다길 13,서울특별시 용산구 문배동 30-10,37.5356720739,126.9695134930,3086,화장실+주차장,,,,,,1930-01-01,200,70,풍국제과는 일제강점기 용산에 본사와 생산공장을 두었던 제과업체로 1934년 지금의 위치에 설립하였다. 해방 이후 풍국제과는 정부에 귀속되었다가 1956년 이양구가 인수해 동양제과공업 주식회사를 설립했다. 그 후 사업확장과 함께 2001년 제과업을 중심으로 하는 오리온 그룹이 동양그룹계열에서 분리되어 오늘날의 ㈜오리온이 되었다.,02-710-6000,오리온,2022-12-07,3020000,서울특별시 용산구
용산신학교,관광지,서울특별시 용산구 원효로19길 49,서울특별시 용산구 원효로4가 1-1,37.5342093704,126.9545933596,690,주차장+쉼터+화장실,,,,,,2012-06-20,50,10,"1892년에 세워졌으며, 프랑스인 코스트 신부가 설계, 감독 했다. 한국 최초의 신학교 건물이다.",02-701-5501,성심수녀회,2022-12-07,3020000,서울특별시 용산구
서울 원효로 예수성심당,관광지,서울특별시 용산구 원효로19길 49,서울특별시 용산구 원효로4가 1-1,37.5342093704,126.9545933596,709,주차장,,,,,,2012-06-20,50,10,"1902년에 세워졌으며, 프랑스인 코스트 신부가 설계, 감독 했다. 19세기 말의 성당 건축을 상징적으로 보여준다.",02-701-5501,성심수녀회,2022-12-07,3020000,서울특별시 용산구
구 용산 수위관측소,관광지,,서울특별시 용산구 청암동 169-1,37.533956,126.947132,10.9,쉼터,,,,,,2002-02-05,1,0,"한강변에서는 최초로, 전국에서는 아홉번째로 건립된 자기 관측소로서 조위와 홍수위를 관측할 목적으로 건립되었다.",02-2199-7240,서울특별시 용산구청 문화체육과,2022-12-07,3020000,서울특별시 용산구
심원정 왜명강화지처비,관광지,서울특별시 용산구 효창원로8길 28,서울특별시 용산구 원효로4가 87-2,37.5334249577,126.9518600319,1200.5,쉼터,,,,,,1593-01-01,80,10,임진왜란 당시 명나라 장군 심유경과 왜군의 장수 고니시 유키나가 만나 강화회담을 벌였던 장소로 전해진다.,02-2199-7240,서울특별시 용산구청 문화체육과,2022-12-07,3020000,서울특별시 용산구
청암동 부군당,관광지,서울특별시 용산구 원효로 17-11,서울특별시 용산구 청암동 120-2,37.534803,126.946373,29.26,화장실,,,,,,1953-01-01,5,0,부군당은 마을의 안녕과 복을 지켜주는 부군신을 모신 곳으로 서울의 대표적인 마을신앙이다. 청암동에는 12신 무신도를 모신 부군당과 이성계를 모시던 영당이 인접하여 존재했었다.,02-2199-7240,서울특별시 용산구청 문화체육과,2022-12-07,3020000,서울특별시 용산구
산천동 부군당,관광지,서울특별시 용산구 효창원로15길 7,서울특별시 용산구 산천동 199,37.535662,126.9531702531,139.6,산천동마을마당(작은쉼터)+화장실,,,,,,2000-10-25,10,0,"부군당은 마을의 안녕과 복을 지켜주는 부군신을 모신 곳으로 서울의 대표적인 마을신앙이다. 산천동 부군당 제사는 봄, 가을에 지내왔으나 요즘은 가을에만 한 차례 지내고 있다.",02-2199-7240,서울특별시 용산구청 문화체육과,2022-12-07,3020000,서울특별시 용산구
3.1운동 용산인쇄소 노동자 만세시위지,관광지,서울특별시 용산구 원효로41길 33,서울특별시 용산구 원효로3가 1-2,37.5354389323,126.9584156066,10702.2,주차장,,,,,,1919-01-01,720,0,"1919년 3.1운동 당시 용산에서 만세시위가 일어난 곳으로, 용산인쇄소가 있던 자리이다.",02-2199-7240,서울특별시 용산구청 문화체육과,2022-12-07,3020000,서울특별시 용산구
